1970-01-01 00:00:00,Stock1,MyQueueStock,Add,Added [0]. Resources: QueueVector { queue: [0] }
1970-01-01 00:00:00,Stock1,MyQueueStock,StateChange,"State changed from Empty { occupied: 0, empty: 20 } to Normal { occupied: 1, empty: 19 }"
1970-01-01 00:00:00.000000001,Stock1,MyQueueStock,Add,Added 1. Resources: QueueVector { queue: [] }
1970-01-01 00:00:00.000000001,Stock1,MyQueueStock,StateChange,"State changed from Normal { occupied: 1, empty: 19 } to Empty { occupied: 0, empty: 20 }"
1970-01-01 00:00:00.681857962,Stock1,MyQueueStock,Add,Added [1]. Resources: QueueVector { queue: [1] }
1970-01-01 00:00:00.681857962,Stock1,MyQueueStock,StateChange,"State changed from Empty { occupied: 0, empty: 20 } to Normal { occupied: 1, empty: 19 }"
1970-01-01 00:00:00.886415351,Stock1,MyQueueStock,Add,Added 1. Resources: QueueVector { queue: [] }
1970-01-01 00:00:00.886415351,Stock1,MyQueueStock,StateChange,"State changed from Normal { occupied: 1, empty: 19 } to Empty { occupied: 0, empty: 20 }"
1970-01-01 00:00:01.953497422,Stock1,MyQueueStock,Add,Added [2]. Resources: QueueVector { queue: [2] }
1970-01-01 00:00:01.953497422,Stock1,MyQueueStock,StateChange,"State changed from Empty { occupied: 0, empty: 20 } to Normal { occupied: 1, empty: 19 }"
1970-01-01 00:00:02.539546648,Stock1,MyQueueStock,Add,Added 1. Resources: QueueVector { queue: [] }
1970-01-01 00:00:02.539546648,Stock1,MyQueueStock,StateChange,"State changed from Normal { occupied: 1, empty: 19 } to Empty { occupied: 0, empty: 20 }"
1970-01-01 00:00:06.200733184,Stock1,MyQueueStock,Add,Added [3]. Resources: QueueVector { queue: [3] }
1970-01-01 00:00:06.200733184,Stock1,MyQueueStock,StateChange,"State changed from Empty { occupied: 0, empty: 20 } to Normal { occupied: 1, empty: 19 }"
1970-01-01 00:00:07.050627272,Stock1,MyQueueStock,Add,"Added [4]. Resources: QueueVector { queue: [3, 4] }"
1970-01-01 00:00:08.060953139,Stock1,MyQueueStock,Add,Added 1. Resources: QueueVector { queue: [3] }
1970-01-01 00:00:09.165815454,Stock1,MyQueueStock,Add,Added 1. Resources: QueueVector { queue: [] }
1970-01-01 00:00:09.165815454,Stock1,MyQueueStock,StateChange,"State changed from Normal { occupied: 1, empty: 19 } to Empty { occupied: 0, empty: 20 }"
1970-01-01 00:00:09.693165861,Stock1,MyQueueStock,Add,Added [5]. Resources: QueueVector { queue: [5] }
1970-01-01 00:00:09.693165861,Stock1,MyQueueStock,StateChange,"State changed from Empty { occupied: 0, empty: 20 } to Normal { occupied: 1, empty: 19 }"
1970-01-01 00:00:11.401956244,Stock1,MyQueueStock,Add,"Added [6]. Resources: QueueVector { queue: [5, 6] }"
1970-01-01 00:00:11.752073741,Stock1,MyQueueStock,Add,"Added [7]. Resources: QueueVector { queue: [5, 6, 7] }"
1970-01-01 00:00:12.318178456,Stock1,MyQueueStock,Add,"Added [8]. Resources: QueueVector { queue: [5, 6, 7, 8] }"
1970-01-01 00:00:12.493356876,Stock1,MyQueueStock,Add,"Added [9]. Resources: QueueVector { queue: [5, 6, 7, 8, 9] }"
1970-01-01 00:00:12.60111562,Stock1,MyQueueStock,Add,"Added 1. Resources: QueueVector { queue: [5, 6, 7, 8] }"
